,SHRP_ID,STATE_CODE,VISIT_DATE,IRI_LEFT_WHEEL_PATH,IRI_RIGHT_WHEEL_PATH,AADT_ALL_VEHIC,MEPDG_TRANS_CRACK_LENGTH_AC,Mean_IRI,IRI_condition,year,initial_IRI,AADT,crack,construction_time
116,0102,1,1998-01-27,0.9049999952,1.0390000104,-1.0,26.2,0.9720000028,2.0,1998,0.8805000126,,26.2,24
117,0102,1,1998-04-23,0.916199994,1.038799977,-1.0,26.2,0.9774999855,2.0,1998,0.8805000126,,26.2,24
118,0102,1,1998-08-05,1.0433999776,1.3615999938,-1.0,26.2,1.2024999857,2.0,1998,0.8805000126,,26.2,24
119,0102,1,1998-12-07,0.9614000082,1.2799999952,-1.0,26.2,1.1207000017,2.0,1998,0.8805000126,,26.2,24
129,0102,10,1998-01-21,0.753000009,0.8805999994,-1.0,-1.0,0.8168000042,2.0,1998,0.8805000126,,,24
130,0102,10,1998-02-25,0.770599997,0.8447999954000001,-1.0,-1.0,0.8076999962,2.0,1998,0.8805000126,,,24
131,0102,10,1998-05-13,0.7782000064,0.8727999927999999,-1.0,-1.0,0.8254999995999999,2.0,1998,0.8805000126,,,24
132,0102,10,1998-07-28,0.809199989,0.9210000038,-1.0,-1.0,0.8650999964,2.0,1998,0.8805000126,,,24
133,0102,10,1998-11-05,0.801399994,0.8741999981999999,-1.0,-1.0,0.8377999961,2.0,1998,0.8805000126,,,24
144,0102,12,1998-02-05,0.6231999871999999,0.8748000024,-1.0,34.34,0.7489999947999999,2.0,1998,0.8805000126,,34.34,24
145,0102,12,1998-12-11,0.6525999903999999,0.8485999942,-1.0,34.34,0.7505999923,2.0,1998,0.8805000126,,34.34,24
161,0102,19,1998-10-13,1.5335999966,2.333599949,-1.0,215.96666666666667,1.9335999728,1.0,1998,0.8805000126,,215.96666666666667,24
173,0102,32,1998-08-28,0.6851999998,0.786400008,-1.0,40.05,0.7358000039,2.0,1998,0.8805000126,,40.05,24
120,0102,1,1999-09-28,1.1254000186000002,1.245399976,-1.0,26.2,1.1853999973000002,2.0,1999,0.8805000126,,26.2,23
162,0102,19,1999-07-19,1.6272000074,2.679600048,-1.0,215.96666666666667,2.1534000277,1.0,1999,0.8805000126,,215.96666666666667,23
174,0102,32,1999-10-16,0.8779999970000001,0.962199998,-1.0,40.05,0.9200999975,2.0,1999,0.8805000126,,40.05,23
134,0102,10,2000-12-06,0.8208000064000001,0.9108000042,-1.0,-1.0,0.8658000053,2.0,2000,0.8805000126,,,22
146,0102,12,2000-09-11,0.6684000014,0.8607999919999999,-1.0,34.34,0.7645999966999999,2.0,2000,0.8805000126,,34.34,22
163,0102,19,2000-05-22,1.6861999988,2.950200033,-1.0,215.96666666666667,2.3182000159,1.0,2000,0.8805000126,,215.96666666666667,22
175,0102,32,2000-06-14,0.8509999990000001,0.976999998,-1.0,40.05,0.9139999985,2.0,2000,0.8805000126,,40.05,22
182,0102,35,2000-05-21,0.8729999897999999,0.8565999985999999,-1.0,3.844444444444445,0.8647999942,2.0,2000,0.8805000126,,3.844444444444445,22
121,0102,1,2001-03-14,1.3054000138,1.4404000284,-1.0,26.2,1.3729000211,2.0,2001,0.8805000126,,26.2,21
135,0102,10,2001-07-12,0.8379999875999999,0.929400003,-1.0,-1.0,0.8836999953,2.0,2001,0.8805000126,,,21
